Fund Name,Symbol,Sector,1Y Return (%),3Y Return (%),5Y Return (%),Expense Ratio (%),Risk Rating,AUM (Cr)
HDFC Top 100 Fund,HDFC100,Large Cap,18.5,14.2,12.8,1.75,Moderate,25000
ICICI Prudential Bluechip,ICICIBLU,Large Cap,17.8,13.9,12.4,1.82,Moderate,32000
SBI Small Cap Fund,SBISML,Small Cap,28.4,22.1,18.6,1.95,High,8500
Axis Midcap Fund,AXISMID,Mid Cap,24.2,19.8,16.2,1.68,Moderately High,12000
Mirae Asset Large Cap,MIRAELC,Large Cap,19.2,15.1,13.5,1.55,Moderate,28000
Nippon India Growth Fund,NIPGROW,Multi Cap,21.5,17.3,14.8,1.78,Moderately High,15000
Kotak Emerging Equity,KOTAKE,Mid Cap,26.8,20.5,17.1,1.85,High,9800
DSP Tax Saver Fund,DSPTAX,ELSS,20.1,16.2,14.1,1.92,Moderate,7500
ABSL Frontline Equity,ABSLFR,Large Cap,16.9,13.4,11.9,1.88,Moderate,22000
UTI Nifty 50 Index,UTINIF,Index,15.8,12.8,11.2,0.18,Low,18000
Parag Parikh Flexi Cap,PPFC,Flexi Cap,22.8,18.9,16.8,1.42,Moderate,45000
HDFC Flexi Cap Fund,HDFCFC,Flexi Cap,19.5,15.8,13.9,1.65,Moderate,35000
Quant Active Fund,QUANTAC,Multi Cap,35.2,28.4,22.1,1.98,Very High,4200
Motilal Oswal Midcap,MOMID,Mid Cap,27.5,21.8,17.8,1.72,High,6800
Canara Robeco Bluechip,CANBLU,Large Cap,18.2,14.5,12.6,1.48,Moderate,8900
